origin;destination;airline;departure;arrival;price;time 
KIN-Jamaica;MEL-Austrália;LATAM Airlines;2022-04-15T19:00-01:00;2022-04-16T13:00-05:00;R$2044.0;22
JFK-Estados Unidos;NRT-Japão;Emirates;2022-04-12T18:00+06:00;2022-04-13T14:00+03:00;R$4516.0;23
GRU-Brasil;LIS-Portugal;AirFrance;2022-04-30T23:00-05:00;2022-05-01T16:00+08:00;R$2888.0;4
MEX-México;NRT-Japão;AirCanada;2022-04-24T01:00-01:00;2022-04-24T19:00+07:00;R$3770.0;10
JFK-Estados Unidos;YYC-Canada;Qatar Airways;2022-04-21T12:00+07:00;2022-04-21T10:00+04:00;R$2252.0;1
JFK-Estados Unidos;YYC-Canada;Gol Airlines;2022-04-08T23:00-09:00;2022-04-09T14:00-02:00;R$2004.0;8
FEN-Brasil;MEL-Austrália;AirFrance;2022-04-06T00:00+11:00;2022-04-06T02:00+07:00;R$3859.0;6
NRT-Japão;MEL-Austrália;Emirates;2022-04-06T14:00-03:00;2022-04-07T05:00+02:00;R$4572.0;10
MEX-México;LIS-Portugal;Qatar Airways;2022-04-09T02:00+01:00;2022-04-09T05:00-04:00;R$3951.0;8
NRT-Japão;KIN-Jamaica;Qatar Airways;2022-04-26T16:00-01:00;2022-04-27T00:00+04:00;R$4942.0;3
MEX-México;MEL-Austrália;AirCanada;2022-04-22T04:00-10:00;2022-04-22T21:00-12:00;R$2231.0;19
PEK-China;KIN-Jamaica;AirCanada;2022-04-30T06:00-11:00;2022-04-30T09:00-09:00;R$2697.0;1
GRU-Brasil;FEN-Brasil;Qatar Airways;2022-04-23T04:00+12:00;2022-04-23T04:00-03:00;R$4238.0;15
MEL-Austrália;LIS-Portugal;Qatar Airways;2022-04-16T02:00-04:00;2022-04-17T01:00+03:00;R$2795.0;16
MEX-México;MEL-Austrália;Emirates;2022-04-12T18:00-02:00;2022-04-12T16:00-06:00;R$3914.0;2
JFK-Estados Unidos;MEX-México;United Airlines;2022-04-29T11:00-09:00;2022-04-30T06:00-06:00;R$4712.0;16
PEK-China;MEL-Austrália;Ethiopian Airlines;2022-04-10T23:00-05:00;2022-04-11T19:00-07:00;R$4503.0;22
JFK-Estados Unidos;PEK-China;Qatar Airways;2022-04-13T00:00+11:00;2022-04-13T07:00-02:00;R$4737.0;20
MEX-México;KIN-Jamaica;Lufthansa;2022-04-22T08:00+12:00;2022-04-22T10:00+05:00;R$4461.0;9
FEN-Brasil;YYC-Canada;Emirates;2022-04-20T20:00+03:00;2022-04-21T11:00+10:00;R$3564.0;8
KIN-Jamaica;MEL-Austrália;Lufthansa;2022-04-04T20:00Z;2022-04-05T02:00-12:00;R$4815.0;18
NRT-Japão;LIS-Portugal;AirFrance;2022-04-22T01:00-09:00;2022-04-22T19:00-10:00;R$2040.0;19
GRU-Brasil;YYC-Canada;AirCanada;2022-04-21T16:00-04:00;2022-04-22T09:00-01:00;R$4944.0;14
JFK-Estados Unidos;YYC-Canada;Lufthansa;2022-04-04T04:00+05:00;2022-04-04T10:00-07:00;R$2355.0;18
MEX-México;PEK-China;Lufthansa;2022-04-20T04:00-07:00;2022-04-20T18:00-06:00;R$4290.0;13
MEL-Austrália;LIS-Portugal;LATAM Airlines;2022-04-15T19:00-10:00;2022-04-16T18:00+12:00;R$2707.0;1
JFK-Estados Unidos;KIN-Jamaica;Gol Airlines;2022-04-09T23:00+09:00;2022-04-09T14:00-06:00;R$2943.0;6
PEK-China;LIS-Portugal;Qatar Airways;2022-04-12T14:00-02:00;2022-04-14T02:00+12:00;R$2559.0;22
MEX-México;LIS-Portugal;LATAM Airlines;2022-04-14T12:00-09:00;2022-04-15T15:00+01:00;R$2217.0;17
JFK-Estados Unidos;PEK-China;Emirates;2022-04-30T04:00-06:00;2022-04-30T22:00+01:00;R$4967.0;11
GRU-Brasil;MEL-Austrália;Emirates;2022-04-03T10:00-02:00;2022-04-03T02:00-11:00;R$2464.0;1
JFK-Estados Unidos;NRT-Japão;Lufthansa;2022-04-20T04:00+02:00;2022-04-21T01:00+07:00;R$3996.0;16
KIN-Jamaica;FEN-Brasil;AirFrance;2022-04-26T14:00-01:00;2022-04-27T05:00-03:00;R$4680.0;17
JFK-Estados Unidos;LIS-Portugal;Lufthansa;2022-04-27T19:00-06:00;2022-04-28T17:00-07:00;R$2311.0;23
JFK-Estados Unidos;LIS-Portugal;AirCanada;2022-04-06T01:00-07:00;2022-04-07T02:00-04:00;R$3029.0;22
JFK-Estados Unidos;GRU-Brasil;American Airlines;2022-04-01T17:00-01:00;2022-04-02T15:00-02:00;R$4067.0;23
PEK-China;MEL-Austrália;Qatar Airways;2022-04-09T18:00-05:00;2022-04-10T19:00+09:00;R$3377.0;11
JFK-Estados Unidos;MEX-México;LATAM Airlines;2022-04-20T06:00-05:00;2022-04-20T20:00-04:00;R$4084.0;13
GRU-Brasil;LIS-Portugal;AirCanada;2022-04-20T08:00-12:00;2022-04-21T09:00+04:00;R$2323.0;9
JFK-Estados Unidos;FEN-Brasil;AirCanada;2022-04-16T19:00Z;2022-04-17T16:00Z;R$4685.0;21
NRT-Japão;YYC-Canada;AirFrance;2022-04-08T08:00+05:00;2022-04-08T17:00-01:00;R$4414.0;15
PEK-China;LIS-Portugal;Lufthansa;2022-04-26T22:00+02:00;2022-04-27T17:00+10:00;R$4537.0;11
MEX-México;NRT-Japão;Lufthansa;2022-04-03T19:00+03:00;2022-04-03T11:00-09:00;R$4679.0;4
FEN-Brasil;YYC-Canada;AirCanada;2022-04-19T10:00+02:00;2022-04-20T03:00+06:00;R$4008.0;13
YYC-Canada;MEL-Austrália;Ethiopian Airlines;2022-04-24T19:00+11:00;2022-04-24T01:00-12:00;R$4302.0;5
KIN-Jamaica;FEN-Brasil;Gol Airlines;2022-04-01T05:00+03:00;2022-04-02T06:00+05:00;R$2286.0;23
PEK-China;FEN-Brasil;LATAM Airlines;2022-04-14T17:00-05:00;2022-04-15T03:00+03:00;R$3849.0;2
MEX-México;YYC-Canada;Ethiopian Airlines;2022-04-05T20:00Z;2022-04-05T10:00-12:00;R$2925.0;2
NRT-Japão;KIN-Jamaica;Emirates;2022-04-12T11:00+01:00;2022-04-13T08:00-02:00;R$4274.0;24
KIN-Jamaica;MEL-Austrália;AirCanada;2022-04-23T04:00-03:00;2022-04-24T03:00+01:00;R$3592.0;19
NRT-Japão;KIN-Jamaica;American Airlines;2022-04-24T19:00+09:00;2022-04-24T23:00+09:00;R$4269.0;4
PEK-China;YYC-Canada;AirCanada;2022-04-20T07:00-08:00;2022-04-20T11:00-07:00;R$3822.0;3
JFK-Estados Unidos;FEN-Brasil;United Airlines;2022-04-11T01:00+08:00;2022-04-11T07:00+02:00;R$3181.0;12
NRT-Japão;LIS-Portugal;United Airlines;2022-04-12T02:00-02:00;2022-04-12T02:00-07:00;R$3768.0;5
KIN-Jamaica;YYC-Canada;Ethiopian Airlines;2022-04-24T19:00-03:00;2022-04-25T12:00-07:00;R$3693.0;21
JFK-Estados Unidos;FEN-Brasil;Lufthansa;2022-04-07T22:00-02:00;2022-04-09T11:00+11:00;R$3010.0;24
KIN-Jamaica;FEN-Brasil;Ethiopian Airlines;2022-04-29T02:00-12:00;2022-04-29T16:00+01:00;R$2718.0;1
JFK-Estados Unidos;MEL-Austrália;Ethiopian Airlines;2022-04-19T16:00+06:00;2022-04-19T21:00-01:00;R$2981.0;12
MEX-México;PEK-China;LATAM Airlines;2022-04-06T09:00+09:00;2022-04-06T17:00+04:00;R$2974.0;13
NRT-Japão;LIS-Portugal;AirCanada;2022-04-23T14:00+05:00;2022-04-23T15:00-10:00;R$3302.0;16
FEN-Brasil;YYC-Canada;Gol Airlines;2022-04-11T06:00-11:00;2022-04-12T00:00Z;R$2286.0;7
GRU-Brasil;LIS-Portugal;American Airlines;2022-04-28T23:00-05:00;2022-04-30T06:00+04:00;R$3334.0;22
NRT-Japão;PEK-China;Emirates;2022-04-24T09:00-03:00;2022-04-24T21:00Z;R$3745.0;9
YYC-Canada;MEL-Austrália;AirFrance;2022-04-04T12:00-11:00;2022-04-05T20:00-03:00;R$4848.0;24
NRT-Japão;YYC-Canada;Emirates;2022-04-19T13:00-07:00;2022-04-19T12:00-12:00;R$4390.0;4
JFK-Estados Unidos;PEK-China;American Airlines;2022-04-14T04:00-02:00;2022-04-15T03:00+01:00;R$2575.0;20
PEK-China;LIS-Portugal;AirCanada;2022-04-01T00:00-08:00;2022-04-02T01:00+04:00;R$3967.0;13
MEX-México;FEN-Brasil;LATAM Airlines;2022-04-08T11:00+03:00;2022-04-08T21:00-08:00;R$3620.0;21
GRU-Brasil;YYC-Canada;Ethiopian Airlines;2022-04-23T11:00Z;2022-04-24T02:00-01:00;R$4971.0;16
MEX-México;NRT-Japão;Gol Airlines;2022-04-19T15:00-09:00;2022-04-19T19:00-06:00;R$2983.0;1
GRU-Brasil;MEL-Austrália;Qatar Airways;2022-04-19T13:00Z;2022-04-20T11:00+09:00;R$4587.0;13
PEK-China;GRU-Brasil;Ethiopian Airlines;2022-04-21T15:00+10:00;2022-04-21T17:00-10:00;R$4168.0;22
FEN-Brasil;YYC-Canada;Ethiopian Airlines;2022-04-18T12:00+12:00;2022-04-18T15:00+12:00;R$3213.0;3
GRU-Brasil;FEN-Brasil;Ethiopian Airlines;2022-04-02T12:00-07:00;2022-04-02T12:00-11:00;R$3698.0;4
PEK-China;MEL-Austrália;AirFrance;2022-04-30T11:00-03:00;2022-05-01T06:00Z;R$2516.0;16
MEX-México;GRU-Brasil;United Airlines;2022-04-05T19:00-11:00;2022-04-06T06:00-10:00;R$4667.0;10
KIN-Jamaica;LIS-Portugal;Ethiopian Airlines;2022-04-10T14:00-08:00;2022-04-11T14:00-02:00;R$2857.0;18
JFK-Estados Unidos;KIN-Jamaica;Ethiopian Airlines;2022-04-24T02:00-12:00;2022-04-24T15:00-06:00;R$4631.0;7
PEK-China;LIS-Portugal;Emirates;2022-04-04T07:00+08:00;2022-04-04T06:00-03:00;R$2525.0;10
PEK-China;FEN-Brasil;Emirates;2022-04-22T19:00-12:00;2022-04-24T07:00+12:00;R$3089.0;12
FEN-Brasil;MEL-Austrália;Ethiopian Airlines;2022-04-01T13:00+07:00;2022-04-02T00:00+06:00;R$3201.0;12
KIN-Jamaica;LIS-Portugal;Qatar Airways;2022-04-24T11:00-01:00;2022-04-24T13:00-06:00;R$4074.0;7
NRT-Japão;GRU-Brasil;United Airlines;2022-04-03T00:00-06:00;2022-04-03T20:00+07:00;R$3697.0;7
FEN-Brasil;MEL-Austrália;Qatar Airways;2022-04-09T00:00-08:00;2022-04-09T19:00+08:00;R$4455.0;3
KIN-Jamaica;YYC-Canada;Lufthansa;2022-04-19T07:00-05:00;2022-04-20T07:00-01:00;R$3757.0;20
GRU-Brasil;KIN-Jamaica;Lufthansa;2022-04-22T04:00+08:00;2022-04-22T15:00+03:00;R$3033.0;16
GRU-Brasil;LIS-Portugal;LATAM Airlines;2022-04-23T13:00+03:00;2022-04-23T13:00Z;R$2848.0;3
MEX-México;FEN-Brasil;American Airlines;2022-04-12T05:00-02:00;2022-04-13T08:00+02:00;R$3785.0;23
KIN-Jamaica;YYC-Canada;AirCanada;2022-04-29T15:00-08:00;2022-04-30T09:00-11:00;R$2454.0;21
JFK-Estados Unidos;MEX-México;Lufthansa;2022-04-26T06:00+02:00;2022-04-26T10:00-07:00;R$2918.0;13
MEX-México;GRU-Brasil;Emirates;2022-04-14T18:00-01:00;2022-04-14T14:00-07:00;R$4018.0;2
YYC-Canada;LIS-Portugal;Emirates;2022-04-24T03:00+02:00;2022-04-24T14:00-10:00;R$4542.0;23
MEX-México;LIS-Portugal;AirFrance;2022-04-15T17:00+10:00;2022-04-15T07:00-09:00;R$2871.0;9
JFK-Estados Unidos;PEK-China;LATAM Airlines;2022-04-09T09:00-03:00;2022-04-09T15:00-07:00;R$4441.0;10
PEK-China;FEN-Brasil;United Airlines;2022-04-08T19:00+10:00;2022-04-08T21:00-05:00;R$2796.0;17
JFK-Estados Unidos;FEN-Brasil;American Airlines;2022-04-01T08:00+08:00;2022-03-31T21:00-07:00;R$4024.0;4
PEK-China;KIN-Jamaica;Emirates;2022-04-02T21:00-06:00;2022-04-04T14:00+11:00;R$2696.0;24
MEX-México;FEN-Brasil;Lufthansa;2022-04-11T13:00+09:00;2022-04-11T07:00-03:00;R$4432.0;6
NRT-Japão;GRU-Brasil;Qatar Airways;2022-04-26T09:00+04:00;2022-04-26T09:00-12:00;R$2972.0;16
MEX-México;MEL-Austrália;Ethiopian Airlines;2022-04-20T15:00+03:00;2022-04-21T13:00+08:00;R$2669.0;17
NRT-Japão;KIN-Jamaica;United Airlines;2022-04-03T13:00+10:00;2022-04-03T09:00-10:00;R$3040.0;16
YYC-Canada;MEL-Austrália;American Airlines;2022-04-02T13:00+05:00;2022-04-03T18:00+11:00;R$2026.0;23
PEK-China;LIS-Portugal;Gol Airlines;2022-04-04T00:00-02:00;2022-04-05T07:00+11:00;R$2146.0;18
NRT-Japão;PEK-China;Ethiopian Airlines;2022-04-01T00:00+01:00;2022-04-02T03:00+11:00;R$4173.0;17
NRT-Japão;LIS-Portugal;Gol Airlines;2022-04-27T09:00-06:00;2022-04-28T18:00+11:00;R$4984.0;16
YYC-Canada;MEL-Austrália;Emirates;2022-04-19T02:00-05:00;2022-04-19T11:00Z;R$3191.0;4
NRT-Japão;GRU-Brasil;AirCanada;2022-04-28T16:00-01:00;2022-04-29T19:00+08:00;R$2746.0;18
JFK-Estados Unidos;YYC-Canada;Emirates;2022-04-01T07:00-10:00;2022-04-02T04:00-09:00;R$3897.0;20
PEK-China;GRU-Brasil;American Airlines;2022-04-22T01:00-08:00;2022-04-22T22:00+07:00;R$4602.0;6
KIN-Jamaica;MEL-Austrália;American Airlines;2022-04-19T02:00+09:00;2022-04-20T01:00+09:00;R$3052.0;23
MEX-México;YYC-Canada;AirFrance;2022-04-19T13:00+05:00;2022-04-19T21:00+07:00;R$2301.0;6
PEK-China;MEL-Austrália;Lufthansa;2022-04-02T20:00-12:00;2022-04-04T16:00+08:00;R$2857.0;24
PEK-China;MEL-Austrália;Emirates;2022-04-09T11:00-06:00;2022-04-10T01:00+07:00;R$2321.0;1
YYC-Canada;LIS-Portugal;Ethiopian Airlines;2022-04-17T03:00+11:00;2022-04-17T11:00+07:00;R$3846.0;12
JFK-Estados Unidos;YYC-Canada;AirCanada;2022-04-28T16:00+10:00;2022-04-28T03:00-04:00;R$3911.0;1
JFK-Estados Unidos;YYC-Canada;AirFrance;2022-04-20T22:00+03:00;2022-04-22T05:00+12:00;R$2272.0;22
GRU-Brasil;MEL-Austrália;LATAM Airlines;2022-04-22T21:00-05:00;2022-04-24T02:00+01:00;R$4775.0;23
MEX-México;YYC-Canada;Gol Airlines;2022-04-21T23:00Z;2022-04-22T03:00Z;R$4786.0;4
PEK-China;FEN-Brasil;Qatar Airways;2022-04-08T04:00-03:00;2022-04-08T13:00+01:00;R$2736.0;5
NRT-Japão;YYC-Canada;American Airlines;2022-04-07T03:00-08:00;2022-04-07T09:00-12:00;R$4847.0;10
FEN-Brasil;LIS-Portugal;Emirates;2022-04-01T12:00-07:00;2022-04-03T00:00+12:00;R$4105.0;17
JFK-Estados Unidos;PEK-China;Lufthansa;2022-04-23T14:00-05:00;2022-04-24T14:00-02:00;R$4678.0;21
MEX-México;MEL-Austrália;Gol Airlines;2022-04-30T01:00-02:00;2022-04-30T19:00+03:00;R$2588.0;13
GRU-Brasil;LIS-Portugal;Gol Airlines;2022-04-30T17:00+03:00;2022-05-01T13:00+07:00;R$3007.0;16
