origin;destination;airline;departure;arrival;price
KIN-Jamaica;MEL-Austrália;LATAM Airlines;15/04/2022 19:00:00 (-01:00);16/04/2022 13:00:00 (-05:00);2044.00
JFK-Estados Unidos;NRT-Japão;Emirates;12/04/2022 18:00:00 (+06:00);13/04/2022 14:00:00 (+03:00);4516.00
GRU-Brasil;LIS-Portugal;AirFrance;30/04/2022 23:00:00 (-05:00);01/05/2022 16:00:00 (+08:00);2888.00
MEX-México;NRT-Japão;AirCanada;24/04/2022 01:00:00 (-01:00);24/04/2022 19:00:00 (+07:00);3770.00
JFK-Estados Unidos;YYC-Canada;Qatar Airways;21/04/2022 12:00:00 (+07:00);21/04/2022 10:00:00 (+04:00);2252.00
JFK-Estados Unidos;YYC-Canada;Gol Airlines;08/04/2022 23:00:00 (-09:00);09/04/2022 14:00:00 (-02:00);2004.00
FEN-Brasil;MEL-Austrália;AirFrance;06/04/2022 00:00:00 (+11:00);06/04/2022 02:00:00 (+07:00);3859.00
NRT-Japão;MEL-Austrália;Emirates;06/04/2022 14:00:00 (-03:00);07/04/2022 05:00:00 (+02:00);4572.00
MEX-México;LIS-Portugal;Qatar Airways;09/04/2022 02:00:00 (+01:00);09/04/2022 05:00:00 (-04:00);3951.00
NRT-Japão;KIN-Jamaica;Qatar Airways;26/04/2022 16:00:00 (-01:00);27/04/2022 00:00:00 (+04:00);4942.00
MEX-México;MEL-Austrália;AirCanada;22/04/2022 04:00:00 (-10:00);22/04/2022 21:00:00 (-12:00);2231.00
PEK-China;KIN-Jamaica;AirCanada;30/04/2022 06:00:00 (-11:00);30/04/2022 09:00:00 (-09:00);2697.00
GRU-Brasil;FEN-Brasil;Qatar Airways;23/04/2022 04:00:00 (+12:00);23/04/2022 04:00:00 (-03:00);4238.00
MEL-Austrália;LIS-Portugal;Qatar Airways;16/04/2022 02:00:00 (-04:00);17/04/2022 01:00:00 (+03:00);2795.00
MEX-México;MEL-Austrália;Emirates;12/04/2022 18:00:00 (-02:00);12/04/2022 16:00:00 (-06:00);3914.00
JFK-Estados Unidos;MEX-México;United Airlines;29/04/2022 11:00:00 (-09:00);30/04/2022 06:00:00 (-06:00);4712.00
PEK-China;MEL-Austrália;Ethiopian Airlines;10/04/2022 23:00:00 (-05:00);11/04/2022 19:00:00 (-07:00);4503.00
JFK-Estados Unidos;PEK-China;Qatar Airways;13/04/2022 00:00:00 (+11:00);13/04/2022 07:00:00 (-02:00);4737.00
MEX-México;KIN-Jamaica;Lufthansa;22/04/2022 08:00:00 (+12:00);22/04/2022 10:00:00 (+05:00);4461.00
FEN-Brasil;YYC-Canada;Emirates;20/04/2022 20:00:00 (+03:00);21/04/2022 11:00:00 (+10:00);3564.00
KIN-Jamaica;MEL-Austrália;Lufthansa;04/04/2022 20:00:00 (Z);05/04/2022 02:00:00 (-12:00);4815.00
NRT-Japão;LIS-Portugal;AirFrance;22/04/2022 01:00:00 (-09:00);22/04/2022 19:00:00 (-10:00);2040.00
GRU-Brasil;YYC-Canada;AirCanada;21/04/2022 16:00:00 (-04:00);22/04/2022 09:00:00 (-01:00);4944.00
JFK-Estados Unidos;YYC-Canada;Lufthansa;04/04/2022 04:00:00 (+05:00);04/04/2022 10:00:00 (-07:00);2355.00
MEX-México;PEK-China;Lufthansa;20/04/2022 04:00:00 (-07:00);20/04/2022 18:00:00 (-06:00);4290.00
MEL-Austrália;LIS-Portugal;LATAM Airlines;15/04/2022 19:00:00 (-10:00);16/04/2022 18:00:00 (+12:00);2707.00
JFK-Estados Unidos;KIN-Jamaica;Gol Airlines;09/04/2022 23:00:00 (+09:00);09/04/2022 14:00:00 (-06:00);2943.00
PEK-China;LIS-Portugal;Qatar Airways;12/04/2022 14:00:00 (-02:00);14/04/2022 02:00:00 (+12:00);2559.00
MEX-México;LIS-Portugal;LATAM Airlines;14/04/2022 12:00:00 (-09:00);15/04/2022 15:00:00 (+01:00);2217.00
JFK-Estados Unidos;PEK-China;Emirates;30/04/2022 04:00:00 (-06:00);30/04/2022 22:00:00 (+01:00);4967.00
GRU-Brasil;MEL-Austrália;Emirates;03/04/2022 10:00:00 (-02:00);03/04/2022 02:00:00 (-11:00);2464.00
JFK-Estados Unidos;NRT-Japão;Lufthansa;20/04/2022 04:00:00 (+02:00);21/04/2022 01:00:00 (+07:00);3996.00
KIN-Jamaica;FEN-Brasil;AirFrance;26/04/2022 14:00:00 (-01:00);27/04/2022 05:00:00 (-03:00);4680.00
JFK-Estados Unidos;LIS-Portugal;Lufthansa;27/04/2022 19:00:00 (-06:00);28/04/2022 17:00:00 (-07:00);2311.00
JFK-Estados Unidos;LIS-Portugal;AirCanada;06/04/2022 01:00:00 (-07:00);07/04/2022 02:00:00 (-04:00);3029.00
JFK-Estados Unidos;GRU-Brasil;American Airlines;01/04/2022 17:00:00 (-01:00);02/04/2022 15:00:00 (-02:00);4067.00
PEK-China;MEL-Austrália;Qatar Airways;09/04/2022 18:00:00 (-05:00);10/04/2022 19:00:00 (+09:00);3377.00
JFK-Estados Unidos;MEX-México;LATAM Airlines;20/04/2022 06:00:00 (-05:00);20/04/2022 20:00:00 (-04:00);4084.00
GRU-Brasil;LIS-Portugal;AirCanada;20/04/2022 08:00:00 (-12:00);21/04/2022 09:00:00 (+04:00);2323.00
JFK-Estados Unidos;FEN-Brasil;AirCanada;16/04/2022 19:00:00 (Z);17/04/2022 16:00:00 (Z);4685.00
NRT-Japão;YYC-Canada;AirFrance;08/04/2022 08:00:00 (+05:00);08/04/2022 17:00:00 (-01:00);4414.00
PEK-China;LIS-Portugal;Lufthansa;26/04/2022 22:00:00 (+02:00);27/04/2022 17:00:00 (+10:00);4537.00
MEX-México;NRT-Japão;Lufthansa;03/04/2022 19:00:00 (+03:00);03/04/2022 11:00:00 (-09:00);4679.00
FEN-Brasil;YYC-Canada;AirCanada;19/04/2022 10:00:00 (+02:00);20/04/2022 03:00:00 (+06:00);4008.00
YYC-Canada;MEL-Austrália;Ethiopian Airlines;24/04/2022 19:00:00 (+11:00);24/04/2022 01:00:00 (-12:00);4302.00
KIN-Jamaica;FEN-Brasil;Gol Airlines;01/04/2022 05:00:00 (+03:00);02/04/2022 06:00:00 (+05:00);2286.00
PEK-China;FEN-Brasil;LATAM Airlines;14/04/2022 17:00:00 (-05:00);15/04/2022 03:00:00 (+03:00);3849.00
MEX-México;YYC-Canada;Ethiopian Airlines;05/04/2022 20:00:00 (Z);05/04/2022 10:00:00 (-12:00);2925.00
NRT-Japão;KIN-Jamaica;Emirates;12/04/2022 11:00:00 (+01:00);13/04/2022 08:00:00 (-02:00);4274.00
KIN-Jamaica;MEL-Austrália;AirCanada;23/04/2022 04:00:00 (-03:00);24/04/2022 03:00:00 (+01:00);3592.00
NRT-Japão;KIN-Jamaica;American Airlines;24/04/2022 19:00:00 (+09:00);24/04/2022 23:00:00 (+09:00);4269.00
PEK-China;YYC-Canada;AirCanada;20/04/2022 07:00:00 (-08:00);20/04/2022 11:00:00 (-07:00);3822.00
JFK-Estados Unidos;FEN-Brasil;United Airlines;11/04/2022 01:00:00 (+08:00);11/04/2022 07:00:00 (+02:00);3181.00
NRT-Japão;LIS-Portugal;United Airlines;12/04/2022 02:00:00 (-02:00);12/04/2022 02:00:00 (-07:00);3768.00
KIN-Jamaica;YYC-Canada;Ethiopian Airlines;24/04/2022 19:00:00 (-03:00);25/04/2022 12:00:00 (-07:00);3693.00
JFK-Estados Unidos;FEN-Brasil;Lufthansa;07/04/2022 22:00:00 (-02:00);09/04/2022 11:00:00 (+11:00);3010.00
KIN-Jamaica;FEN-Brasil;Ethiopian Airlines;29/04/2022 02:00:00 (-12:00);29/04/2022 16:00:00 (+01:00);2718.00
JFK-Estados Unidos;MEL-Austrália;Ethiopian Airlines;19/04/2022 16:00:00 (+06:00);19/04/2022 21:00:00 (-01:00);2981.00
MEX-México;PEK-China;LATAM Airlines;06/04/2022 09:00:00 (+09:00);06/04/2022 17:00:00 (+04:00);2974.00
NRT-Japão;LIS-Portugal;AirCanada;23/04/2022 14:00:00 (+05:00);23/04/2022 15:00:00 (-10:00);3302.00
FEN-Brasil;YYC-Canada;Gol Airlines;11/04/2022 06:00:00 (-11:00);12/04/2022 00:00:00 (Z);2286.00
GRU-Brasil;LIS-Portugal;American Airlines;28/04/2022 23:00:00 (-05:00);30/04/2022 06:00:00 (+04:00);3334.00
NRT-Japão;PEK-China;Emirates;24/04/2022 09:00:00 (-03:00);24/04/2022 21:00:00 (Z);3745.00
YYC-Canada;MEL-Austrália;AirFrance;04/04/2022 12:00:00 (-11:00);05/04/2022 20:00:00 (-03:00);4848.00
NRT-Japão;YYC-Canada;Emirates;19/04/2022 13:00:00 (-07:00);19/04/2022 12:00:00 (-12:00);4390.00
JFK-Estados Unidos;PEK-China;American Airlines;14/04/2022 04:00:00 (-02:00);15/04/2022 03:00:00 (+01:00);2575.00
PEK-China;LIS-Portugal;AirCanada;01/04/2022 00:00:00 (-08:00);02/04/2022 01:00:00 (+04:00);3967.00
MEX-México;FEN-Brasil;LATAM Airlines;08/04/2022 11:00:00 (+03:00);08/04/2022 21:00:00 (-08:00);3620.00
GRU-Brasil;YYC-Canada;Ethiopian Airlines;23/04/2022 11:00:00 (Z);24/04/2022 02:00:00 (-01:00);4971.00
MEX-México;NRT-Japão;Gol Airlines;19/04/2022 15:00:00 (-09:00);19/04/2022 19:00:00 (-06:00);2983.00
GRU-Brasil;MEL-Austrália;Qatar Airways;19/04/2022 13:00:00 (Z);20/04/2022 11:00:00 (+09:00);4587.00
PEK-China;GRU-Brasil;Ethiopian Airlines;21/04/2022 15:00:00 (+10:00);21/04/2022 17:00:00 (-10:00);4168.00
FEN-Brasil;YYC-Canada;Ethiopian Airlines;18/04/2022 12:00:00 (+12:00);18/04/2022 15:00:00 (+12:00);3213.00
GRU-Brasil;FEN-Brasil;Ethiopian Airlines;02/04/2022 12:00:00 (-07:00);02/04/2022 12:00:00 (-11:00);3698.00
